##
## Created by M. Vincenzi on Dec 2021
## PDF for SALT2x1, SALTc as a function of Mass

VARNAMES: SALT2x1 LOGMASS PROB
PDF: 2.100 9.60 0.000
PDF: 2.200 9.60 0.000
PDF: 2.300 9.60 0.000
PDF: 2.400 9.60 0.000
PDF: 2.500 9.60 0.000
PDF: 2.600 9.60 0.000
PDF: 2.700 9.60 0.000
PDF: 2.800 9.60 0.000
PDF: 2.900 9.60 0.000
PDF: 3.000 9.60 0.000
PDF: 3.100 9.60 0.000
PDF: 3.200 9.60 0.000
PDF: 3.300 9.60 0.000
PDF: 3.400 9.60 0.000
PDF: 3.500 9.60 0.000
PDF: 3.600 9.60 0.000
PDF: 3.700 9.60 0.000
PDF: 3.800 9.60 0.000
PDF: 3.900 9.60 0.000
PDF: 4.000 9.60 0.000
PDF: 4.100 9.60 0.000
PDF: 4.200 9.60 0.000
PDF: 4.300 9.60 0.000
PDF: 4.400 9.60 0.000
PDF: 4.500 9.60 0.000
PDF: 4.600 9.60 0.000
PDF: 4.700 9.60 0.000
PDF: 4.800 9.60 0.000
PDF: 4.900 9.60 0.000
PDF: -5.000 9.80 0.000
PDF: -4.900 9.80 0.000
